iter	Logloss
0	0.5694433451
1	0.5042505019
2	0.4291323945
3	0.3784449678
4	0.3394274113
5	0.3064861062
6	0.2766078936
7	0.2489206342
8	0.2345990051
9	0.2195150647
10	0.2061396017
11	0.1962418527
12	0.1876800668
13	0.1820033632
14	0.1753558694
15	0.1708909159
16	0.1644787836
17	0.1590257571
18	0.1559526683
19	0.1519754951
20	0.1474771588
21	0.1439609887
22	0.1405995421
23	0.1377216457
24	0.134153642
25	0.1320700842
26	0.1293568959
27	0.1273276464
28	0.1244751666
29	0.1225868119
30	0.1203344621
31	0.1193651777
32	0.1171308965
33	0.1142143978
34	0.1126105208
35	0.1111644766
36	0.1089144425
37	0.1073812039
38	0.1055450748
39	0.1040939598
40	0.1018995162
41	0.100349827
42	0.09954072288
43	0.09833463699
44	0.09735366259
45	0.09567435654
46	0.09431635882
47	0.09301308301
48	0.09176234677
49	0.09061362758
50	0.08823046665
51	0.08671697564
52	0.08608323472
53	0.08440086116
54	0.08317883478
55	0.08236802015
56	0.08116493638
57	0.08035597521
58	0.07960550781
59	0.07853837867
60	0.07797087865
61	0.07731701848
62	0.07696137715
63	0.07541698912
64	0.07436193037
65	0.07390169225
66	0.07264551791
67	0.07179664714
68	0.07132127606
69	0.07042327496
70	0.06976704335
71	0.06832990497
72	0.06763756856
73	0.06673346071
74	0.06587847364
75	0.06471529274
76	0.06423230917
77	0.06375325768
78	0.06235035721
79	0.06176336544
80	0.06123018967
81	0.059888712
82	0.05909986643
83	0.05842977062
84	0.0580449911
85	0.05723027182
86	0.05664044103
87	0.05606552048
88	0.05530910116
89	0.05470242961
90	0.0538386628
91	0.05292124807
92	0.05229971696
93	0.05149045164
94	0.0508458306
95	0.05032298544
96	0.05024829338
97	0.04996212336
98	0.04929949723
99	0.04868419335
